RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RAJ2000,DEJ2000
45.43782517905,0.59790553777,49654117729024,0.093,0.0908,1.6983,0.1141,8.26,8.257,0.114,0.227,0.11,0.936,1627.75015,2.3628,17.658398,445.11,11.388,18.717379,1746.1,8.5633,16.64272,2.074659,,,,,0,0,0,0,0,0,0,0,1,1,0,3715.8,4.8086,-0.4624,462.2782,0.5563,,108710454377987920,1237660241385423104,76101984,,URAT1-453005983,J030145.07+003552.4,,N9VK002128,,03014506+0035523,,45.43778847945,0.59790453108
45.42846539617,0.60578929404,50027779117312,0.8031,1.0819,0.6234,1.1599,0.801,-0.114,1.172,-0.793,1.228,1.023,105.13141,0.83259,20.633036,44.659,12.342,21.213781,59.182,12.12,20.317421,0.89636,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108720454284467376,1237660241385423360,,,,,,N9VK004784,,,,45.42846590182,0.60579282001
45.40416593409,0.59780171749,49684181947392,0.0866,0.0857,0.4856,0.1045,4.335,1.001,0.111,-4.218,0.109,0.976,1809.88733,2.0359,17.543238,929.88,15.71,17.917477,1267.0,12.228,16.990925,0.926552,,,,,0,0,0,0,0,0,0,0,1,1,0,5264.4,4.6801,-1.5159,1776.6187,0.0097,,108710454041427792,1237660241385422848,76101985,,URAT1-453005974,J030136.99+003552.1,,NC1S001327,,03013697+0035520,,45.40416148675,0.59782046461
45.41334862473,0.61031880228,49718541571200,0.0299,0.0294,2.014,0.0356,4.416,2.469,0.038,-3.661,0.036,1.866,52546.34111,26.696,13.886011,25654.0,74.945,14.315644,39276.0,66.713,13.262591,1.053053,-14.36,3.86,,13.000422,0,0,0,0,0,0,0,0,1,1,0,5139.1,4.3959,-0.5675,487.0533,0.1851,,108730454133172800,1237660241385422848,76101987,,URAT1-454007000,J030139.20+003637.2,926,NC1S000406,,03013920+0036371,,45.41333765061,0.61033507277
45.3703692622,0.58116988047,49757196516096,0.5405,0.6153,1.3365,0.733,10.217,9.184,0.71,-4.477,0.716,0.977,174.05487,1.2286,20.085651,64.494,7.6711,20.814747,129.26,11.497,19.469234,1.345512,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108690453703387856,1237660241385357568,76101967,,,,,NC1S001288,,,,45.37032844406,0.58118977926
45.36816556572,0.58928830719,49752901421440,0.1969,0.1896,3.0859,0.243,28.321,13.546,0.254,-24.871,0.241,1.003,592.54027,1.6541,18.755571,104.22,9.524,20.293707,797.29,10.757,17.493849,2.799858,,,,,0,0,0,0,0,0,0,0,1,0,0,3185.2,4.9945,-0.1244,300.0081,0.1646,,108700453681157632,1237660241385357568,76101968,,URAT1-453005966,J030128.35+003521.5,,NC1S001306,,03012833+0035218,,45.36810535876,0.58939884448
45.40553032837,0.61708390582,49924700122624,0.2133,0.2114,1.1029,0.259,7.929,4.976,0.283,-6.173,0.276,0.908,468.46167,1.2869,19.010681,84.373,10.017,20.523035,547.02,7.8012,17.902887,2.620148,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108740454055090928,1237660241385423104,76101986,,URAT1-454006998,J030137.33+003701.6,,NC1S001380,,03013733+0037012,,45.40550821081,0.6171113426
45.45700238397,0.61370166862,50066434588928,0.0288,0.0286,0.7638,0.0344,3.015,-0.708,0.036,-2.93,0.035,1.012,11675.2193,5.1962,15.519204,5885.9,17.469,15.914007,8305.4,12.682,14.949499,0.964508,,,,,0,0,0,1,0,0,0,0,1,1,0,5161.4,4.3901,-0.8427,1090.9326,0.015,,108730454569996880,1237660241385422848,76102830,,URAT1-454007010,J030149.67+003649.3,935,N9VK000109,,03014968+0036493,,45.4570055325,0.61371469208
45.4463078251,0.63113121645,50238233280384,0.3312,0.3311,0.943,0.3924,18.634,-12.246,0.428,-14.045,0.44,1.035,278.3432,1.0617,19.575914,57.687,9.722,20.935839,339.24,13.516,18.421623,2.514216,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108750454462987808,1237666301627203840,,,,J030147.10+003752.3,,N9VK004827,,03014711+0037522,,45.44636225584,0.63119364008
45.45182940179,0.63718998422,50233937526400,0.1218,0.1243,0.322,0.1493,3.706,2.619,0.159,-2.622,0.154,0.963,937.09408,1.6484,18.25791,476.78,14.99,18.642754,721.16,15.918,17.60281,1.039944,,,,,0,0,0,0,0,0,0,0,1,0,0,4911.2,4.831,-1.6995,1659.6981,0.0072,,108760454518195072,1237666301627203840,76102831,,URAT1-454007007,J030148.44+003813.8,,N9VK002219,,03014842+0038137,,45.45181776004,0.63720163922
45.46692853896,0.64789964235,50268297265792,0.2199,0.2136,0.8127,0.2668,4.096,-2.861,0.298,2.932,0.266,1.137,532.26628,1.4565,18.872044,142.91,17.612,19.950888,550.3,10.649,17.896399,2.054489,,,,,0,0,0,0,0,0,0,0,1,0,0,3429.5,4.646,-0.982,570.4774,0.0681,,108770454669137904,1237666301627203584,76104541,,URAT1-454007013,,,N9VK002237,,03015207+0038526,,45.46694125416,0.64788661183
45.42776383606,0.6293278558,50341312686208,4.2741,4.3607,,,,,,,,,55.11964,1.5312,21.3341,88.587,13.428,20.47012,280.61,26.952,18.627626,1.842493,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108750454277155632,1237666301627203840,76101988,,,J030142.66+003745.6,,NC1S001419,,03014268+0037450,,45.42776383606,0.6293278558
45.42800747032,0.6377949228,50341311896192,0.4049,0.4053,0.1655,0.4961,14.564,5.596,0.537,-13.446,0.512,1.141,220.90408,0.94839,19.826857,72.942,4.284,20.6811,225.54,12.06,18.864815,1.816286,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108760454280575840,1237666301627203840,76103637,,,J030142.70+003816.5,,NC1S001447,,,,45.42798259721,0.63785468488
45.4226586891,0.64315469976,50405736687744,0.295,0.2898,2.3653,0.3676,27.726,10.356,0.404,-25.72,0.374,0.976,282.57184,1.0938,19.559546,62.906,6.9851,20.841808,381.38,9.6298,18.294504,2.547304,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108770454226252256,1237666301627203840,76103633,,,J030141.44+003835.5,,NC1S006427,,03014145+0038356,,45.4226126607,0.64326901064
45.51860309097,0.61683499299,50646254385536,0.7746,0.9289,-1.1721,0.9075,7.695,6.947,1.281,3.31,1.531,1.062,123.96536,0.92711,20.454117,84.888,13.098,20.516428,88.582,8.6142,19.879536,0.636892,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108740455186080640,1237660241385423104,,,,,,N9VK002171,,,,45.51857221534,0.61682028104
45.5521674167,0.6258104546,50714973862784,0.7839,0.7349,-0.5653,0.9108,0.296,0.246,1.135,-0.165,1.207,0.967,122.1541,1.4988,20.470097,51.404,9.2801,21.06105,70.181,6.652,20.13234,0.928711,,,,,1,0,0,0,0,0,1,0,0,0,0,,,,,,,108750455521541424,1237660241385488640,,,,J030212.52+003732.5,,N9VK002192,,,,45.55216632519,0.62581118783
45.54445609666,0.62485776361,50719269615744,0.0554,0.058,2.9633,0.068,19.839,-3.369,0.071,-19.551,0.069,1.131,4022.92631,3.5615,16.676012,1032.1,10.617,17.80423,4518.9,26.231,15.610317,2.193913,,,,,0,0,0,1,0,0,0,0,1,1,0,3786.3,4.7316,-0.039,334.8318,0.7851,,108750455444450320,1237660241385488640,76102847,,URAT1-454007035,J030210.67+003729.6,,N9VK002190,,03021067+0037298,,45.54447107252,0.62494465688
45.49852500868,0.62517373663,50856708135680,0.9724,1.3812,2.6521,1.3584,17.33,-8.723,1.384,-14.974,1.679,1.22,114.7354,1.2088,20.538124,43.535,8.678,21.241455,163.14,11.992,19.21648,2.024975,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108750454985250656,1237660241385423360,,,,,,N9VK004815,,,,45.49856378089,0.62524028832
